ID,xicStart,xicEnd,feature,corrMax,ionCount,chargeOrder,maxIsotopeCount,rt,mwMonoisotopic,theo_mwMonoisotopic,inferredStructure,maxIntensity
870,12.6506833333333,39.995495,870,0.999366095797465,4040,1,2,27.8719084603611,392.278673240261,,,975542
871,12.6506833333333,26.5131866666667,871,0.995454141915533,946,1,2,21.5769183763773,431.877885886746,,,52154
872,12.6506833333333,29.4778433333333,872,0.998811516790802,1246,1,2,22.7694516930806,461.139146873074,,,25563
873,12.8116833333333,20.5288333333333,873,0.996229318392048,370,1,2,17.9770738292137,446.109361716824,,,27052
874,12.8116833333333,29.4778433333333,874,0.999963928976932,1246,1,2,23.0265262308755,592.210374900418,,,98704
876,13.20727,13.57885,876,0.930866684909316,3,3,5,13.4350475783528,3600.51299032625,,,97373
877,13.20727,15.7525316666667,877,0.987564354529398,24,1,2,15.0715775249979,537.15483290823,,,9410
878,13.9985183333333,29.3624983333333,878,0.999998344193237,1244,1,2,23.3734226153566,524.280382224636,,,45084
879,13.9985183333333,29.5823433333333,879,0.992967785983034,1243,1,2,22.8505344506243,414.029436179714,,,12296
880,13.9985183333333,29.430995,880,0.989887695301775,1198,1,2,23.0226537412836,576.119615623074,,,10696
881,13.4071516666667,20.5288333333333,881,0.994759044408697,366,1,2,18.0315194715352,446.339525291043,,,8258
882,12.8116833333333,16.818,882,0.999675402607816,82,1,2,15.8410048141862,594.148363181668,,,7526
883,12.99185,17.2156866666667,883,0.990653175900105,93,1,2,16.0418104974669,611.174913474636,,,8972
885,13.4071516666667,15.6353333333333,885,0.996924984140969,19,1,3,14.893371432053,520.126298142605,,,5644
886,13.20727,13.57885,886,0.928431268050435,6,4;3,6,13.4763724456276,3671.5496411075,,,185949
888,13.9985183333333,29.411505,888,0.994271199068216,1213,1,2,22.9512288129628,433.874773093777,,,22769
889,12.8116833333333,39.995495,889,0.994670193917744,3641,1,2,31.4137105633835,418.308488914089,,,6514883
890,13.57885,14.4993833333333,890,0.999997304479322,3,1,2,13.8089705642583,471.268022605496,,,76434
891,12.99185,16.7113383333333,891,0.999998173017822,87,1,2,15.7271229251932,504.097337791043,,,9055
